Country,Govt Rev_GDP,Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,ODA inflow_GNI,GDP per Capita,GDP per Capita Class
Afghanistan,13.0,21.8,0.7,4.3,1.4,26.8,415.707417059086,Low Income
Albania,19.3,11.1,2.9,2.7,1.9,1.7,8575.17113446213,Upper Middle Income
Algeria,23.1,16.9,3.3,6.3,2.3,0.1,5364.02795022731,Upper Middle Income
Andorra,26.0,19.799999999999997,6.2,2.7,1.2,0.0,46812.4484486309,High Income
Angola,21.8,6.4,1.7,2.3,0.5,0.1,2308.15976731274,Lower Middle Income
Anguilla,26.0,19.799999999999997,6.05,4.6,1.2,0.0,35374.0,High Income
AntiguaandBarbuda,26.0,19.799999999999997,3.9,3.6,1.2,0.4,21787.1017315914,High Income
Argentina,10.6,15.8,6.1,4.6,3.3,0.1,14187.4827252965,High Income
Armenia,23.5,14.1,2.2,2.5,1.5,1.6,8053.0,Upper Middle Income
Australia,26.2,21.3,8.0,5.2,1.2,0.0,64820.9117890026,High Income
Austria,31.7,20.3,9.5,4.8,1.2,0.0,56033.573792065,High Income
Azerbaijan,32.4,14.0,1.5,2.9,0.6,0.1,7125.90858368611,Upper Middle Income
Bahamas,19.8,13.0,4.0,3.1,1.2,0.0,35896.50510715,High Income
Bahrain,16.0,15.8,2.8,2.0,1.2,0.0,29218.8605634137,High Income
Bangladesh,9.5,5.7,0.4,2.1,0.8,1.1,2551.01772674142,Lower Middle Income
Barbados,29.5,11.8,4.4,5.1,1.2,0.0,23804.0249914995,High Income
Belarus,15.5,18.1,4.9,5.2,2.4,0.0,7829.05313660622,Upper Middle Income
Belgium,23.9,24.2,8.6,6.2,1.2,0.0,54700.9093236712,High Income
Belize,23.8,16.1,3.4,5.0,1.6,0.8,7459.99815132837,Upper Middle Income
Benin,19.9,9.5,0.3,3.2,0.4,4.9,1394.37330217623,Lower Middle Income
Bhutan,20.0,21.0,2.2,8.1,1.0,7.1,3711.0,Lower Middle Income
Bolivia(PlurinationalStateof),19.9,19.3,5.9,7.7,1.9,0.8,3686.27996490544,Lower Middle Income
BosniaandHerzegovina,29.6,19.9,6.5,4.05,2.8,1.2,8638.66620201187,Upper Middle Income
Botswana,29.5,28.9,4.8,8.1,3.0,0.5,7820.0,Upper Middle Income
Brazil,29.6,18.2,4.5,5.8,1.3,0.0,10294.866680778,Upper Middle Income
BritishVirginIslands,26.0,19.799999999999997,6.05,2.9,1.2,0.0,47000.0,High Income
BruneiDarussalam,26.0,22.8,2.1,4.4,1.2,0.0,32963.0,High Income
Bulgaria,28.8,18.2,5.4,4.3,1.1,0.0,15885.5391311331,High Income
BurkinaFaso,19.7,20.0,2.7,5.3,1.4,7.7,882.689810086163,Low Income
Burundi,17.6,30.5,2.2,4.8,2.1,17.2,193.007145564804,Low Income
CaboVerde,21.6,20.4,4.7,6.0,1.6,3.6,4850.98415849643,Upper Middle Income
Cambodia,18.1,8.1,2.0,1.7,0.9,5.5,2429.74853452838,Lower Middle Income
Cameroon,13.7,11.3,0.5,2.6,0.0,2.8,1737.0,Lower Middle Income
Canada,14.4,21.2,8.0,4.1,1.2,0.0,53431.1857063879,High Income
CentralAfricanRepublic,9.2,8.3,1.3,2.1,2.0,27.2,495.978897153068,Low Income
Chad,14.2,4.2,0.9,2.5,0.7,5.7,680.639877912029,Low Income
Chile,26.0,15.1,4.9,4.0,3.5,0.0,17067.8136150601,High Income
China,8.4,16.1,2.9,3.3,1.1,-0.0,12614.0617416421,Upper Middle Income
Colombia,20.1,14.6,6.5,3.9,3.4,0.6,6947.35928681966,Upper Middle Income
Comoros,19.9,9.3,0.9,2.4,0.4,11.0,1590.31237688317,Lower Middle Income
Congo,20.1,13.1,1.9,3.0,0.4,4.8,2477.97845544866,Lower Middle Income
CookIslands,26.0,19.799999999999997,6.05,4.6,1.2,0.0,18806.0,High Income
CostaRica,18.0,14.9,5.3,6.3,1.2,1.0,16942.0268119375,High Income
Côted'Ivoire,12.2,10.3,1.0,3.5,0.2,2.9,2530.84659301723,Lower Middle Income
Croatia,24.9,21.1,6.8,5.2,1.2,0.0,21865.4562838641,High Income
Cuba,23.1,32.5,12.6,9.4,1.6,0.5,7449.0,Upper Middle Income
Cyprus,30.0,19.1,8.0,5.5,1.2,0.0,36551.41796875,High Income
Czechia,25.0,20.4,8.2,5.1,0.8,0.0,31591.1770732969,High Income
DemocraticPeople'sRepublicofKorea,19.9,13.55,1.9,3.6,0.6,0.0,1217.0,Lower Middle Income
DemocraticRepublicoftheCongo,14.2,7.9,0.6,3.0,0.7,5.2,627.502181690836,Low Income
Denmark,36.3,22.6,8.1,5.9,1.2,0.0,68453.8769281145,High Income
Djibouti,19.9,14.5,1.0,3.8,0.3,1.6,3554.83918868372,Lower Middle Income
Dominica,23.1,27.4,4.2,4.7,4.1,9.8,9832.99643050057,Upper Middle Income
DominicanRepublic,15.6,11.3,3.3,3.9,1.3,0.3,10717.6276712204,Upper Middle Income
Ecuador,24.5,13.9,5.3,3.6,1.0,0.3,6609.80408154957,Upper Middle Income
Egypt,19.9,6.8,1.7,3.9,2.9,1.3,3457.45691570455,Lower Middle Income
ElSalvador,24.8,18.0,6.4,4.5,1.4,2.4,5391.06926181338,Upper Middle Income
EquatorialGuinea,26.8,26.0,0.7,4.05,1.6,0.1,6677.793435386,Upper Middle Income
Eritrea,19.9,13.55,0.9,3.6,0.6,0.0,3097.0,Lower Middle Income
Estonia,29.8,20.9,5.7,5.9,2.3,0.0,30133.304450454,High Income
Eswatini,24.9,17.6,3.7,6.3,0.6,1.9,3610.60879677551,Lower Middle Income
Ethiopia,5.1,6.3,1.0,3.7,0.7,3.9,1272.01628209211,Lower Middle Income
Fiji,19.0,20.6,3.4,6.0,0.7,7.6,5888.73668639357,Upper Middle Income
Finland,23.0,25.2,8.4,5.7,1.2,0.0,52925.6897638424,High Income
France,17.4,23.3,9.3,5.2,1.2,0.0,44690.9345395117,High Income
Gabon,14.5,11.6,1.6,2.2,1.6,0.7,7802.83659565049,Upper Middle Income
Gambia,14.2,8.8,1.6,2.7,0.7,12.7,888.157407724123,Low Income
Georgia,26.5,12.7,3.1,3.8,9.3,1.6,8283.66960242964,Upper Middle Income
Germany,12.5,21.6,10.2,4.5,1.2,0.0,54343.2265084958,High Income
Ghana,15.6,5.9,2.2,2.9,0.6,1.4,2260.28741289427,Lower Middle Income
Greece,36.3,19.7,5.4,4.1,1.2,0.0,23400.7278817691,High Income
Grenada,23.1,16.1,2.2,3.9,2.0,-8.2,11246.3451228921,Upper Middle Income
Guatemala,13.0,11.6,2.3,3.2,1.3,0.5,5762.82174615918,Upper Middle Income
Guinea,19.9,12.3,0.7,2.0,0.9,2.7,1541.04050914957,Lower Middle Income
Guinea-Bissau,12.0,19.0,1.1,3.55,0.0,8.5,951.242748289294,Low Income
Guyana,26.0,19.799999999999997,3.3,4.5,1.2,1.5,20765.3503593109,High Income
Haiti,19.9,6.2,0.4,1.0,0.6,4.4,1705.77905452248,Lower Middle Income
HolySee,26.0,19.799999999999997,6.05,4.6,1.2,0.0,21198.0,High Income
Honduras,21.7,14.4,3.4,4.4,0.3,2.7,3231.65724461936,Lower Middle Income
Hungary,28.3,20.0,5.3,5.0,1.8,0.0,22141.8669799276,High Income
Iceland,31.1,25.7,8.1,7.1,1.2,0.0,79636.9548578508,High Income
India,13.2,10.5,1.1,4.6,1.4,0.1,2480.79208721621,Lower Middle Income
Indonesia,13.4,7.4,2.2,2.4,0.6,0.1,4876.31432703188,Upper Middle Income
Iran(IslamicRepublicof),23.1,13.2,3.2,2.7,1.6,0.1,4465.63766994952,Upper Middle Income
Iraq,38.6,17.7,2.6,4.05,1.3,0.5,5565.12644647176,Upper Middle Income
Ireland,19.4,12.3,5.2,2.9,1.2,0.0,103887.800388081,High Income
Israel,28.1,22.4,5.4,6.5,1.2,0.0,52642.4267486308,High Income
Italy,27.0,18.1,7.1,4.0,1.2,0.0,39003.3160954123,High Income
Jamaica,29.3,13.6,5.1,5.7,1.5,0.6,6839.72503886968,Upper Middle Income
Japan,15.3,21.6,9.2,3.5,1.2,0.0,33766.5268253808,High Income
Jordan,23.5,15.8,2.6,3.2,1.0,4.1,4455.50540514568,Lower Middle Income
Kazakhstan,12.3,11.3,2.6,4.2,1.6,0.0,12918.8661346014,Upper Middle Income
Kenya,18.0,12.3,2.2,4.6,0.4,2.4,1952.30457929636,Lower Middle Income
Kiribati,66.0,13.55,11.1,16.6,1.3,22.1,2106.76000405677,Lower Middle Income
Kuwait,38.6,24.8,5.2,4.6,1.2,0.0,33729.7985494456,High Income
Kyrgyzstan,24.6,16.8,2.9,8.0,2.6,6.3,1970.15780961839,Lower Middle Income
