Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Afghanistan,13.0,21.8,0.7,4.3,1.4,4.1,8.2,6.4,"3,960",26.8,,,33509.0127982139
Albania,19.3,11.1,2.9,2.7,1.9,9.1,9.8,16.9,339,1.7,,,8232.65225980002
Algeria,,16.9,3.3,6.3,2.3,8.8,13.3,13.5,233,0.1,,,3554.83918868372
Andorra,,,6.2,2.7,,15.7,7.0,,,,,,2429.74853452838
Angola,21.8,6.4,1.7,2.3,0.5,8.8,7.7,7.7,97,0.1,,,602.343619809252
Anguilla,,,,,,,,,,,,,12281
Antigua and Barbuda,,,3.9,3.6,,15.5,9.8,,6,0.4,,,5762.82174615918
Argentina,10.6,15.8,6.1,4.6,3.3,16.2,12.3,20.6,407,0.1,,,415.707417059086
Armenia,23.5,14.1,2.2,2.5,1.5,7.6,9.7,10.9,323,1.6,,,8053
Australia,26.2,21.3,8.0,5.2,,19.3,13.9,0.0,,,"3,079",,3771.4462890625
Austria,31.7,20.3,9.5,4.8,,16.9,9.0,0.0,,,"1,836",,11613.0441587588
Azerbaijan,32.4,14.0,1.5,2.9,0.6,4.6,10.8,4.3,47,0.1,,,54343.2265084958
Bahamas,19.8,13.0,4.0,3.1,,13.8,11.6,0.0,,,,,17879.2396545075
Bahrain,16.0,15.8,2.8,2.0,,8.7,9.3,0.0,,,,,22056.6661704127
Bangladesh,9.5,5.7,0.4,2.1,0.8,3.1,12.0,13.5,"5,743",1.1,,,882.689810086163
Barbados,29.5,11.8,4.4,5.1,,12.4,13.6,0.0,,,,,22573.6724791004
Belarus,15.5,18.1,4.9,5.2,2.4,13.2,12.8,13.2,12,0.0,,,1002.30913917142
Belgium,23.9,24.2,8.6,6.2,,15.5,11.3,0.0,,,"2,687",,2041.6364912646
Belize,23.8,16.1,3.4,5.0,,13.7,18.9,0.0,21,0.8,,,32093.9622984711
Benin,,9.5,0.3,3.2,0.4,1.6,19.0,4.2,874,4.9,,,7906.58502858
